filename,title,description,feature,topic,role,level
./metadata.md,,Dynamic Media Classic,,,,
./help/aem-viewers-ref/TOC.md,,,,,,
./help/landing/home.md,Adobe Dynamic Media developer resources,Adobe Dynamic Media developer resources,Dynamic Media Classic,,,
help/aem-viewers-ref/c-system-requirements-and-prerequisites.md,System requirements for Dynamic Media HTML5 viewers,System requirements for Dynamic Media HTML5 viewers.,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/t-installing-the-viewers.md,Installing multiple Dynamic Media viewers on the same server,Instructions for installing the Dynamic Media Viewers API.,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-rn-01-13-21.md,Viewers release notes (5.15.3),Release notes for Dynamic Media Viewers.,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-archive.md,Release notes archive,Release notes archive,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-06-03-20.md,Viewers release notes (5.13.1),Viewers release notes (5.13.1),Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-07-08-19.md,Viewers release notes (5.13.1),Viewers release notes (5.13.1),Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-04-01-19.md,Viewers release notes (5.12.1),Viewers release notes (5.12.1),Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-07-17-18.md,Viewers release notes (5.10.1),Viewers release notes (5.10.1),Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-09-18-17.md,Scene7 Viewers 5.8.2 Release Notes,Scene7 Viewers 5.8.2 Release Notes,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-10-13-16.md,Scene7 Viewers 5.5.2 Release Notes,Scene7 Viewers 5.5.2 Release Notes,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-05-03-16.md,Scene7 Viewers 5.4.2 Release Notes,Scene7 Viewers 5.4.2 Release Notes,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-05-20-15.md,Scene7 Viewers 5.2.3 Release Notes,Scene7 Viewers 5.2.3 Release Notes,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-04-30-15.md,Scene7 Viewers 5.2.2 Release Notes,Scene7 Viewers 5.2.2 Release Notes,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-09-19-14.md,Scene7 Viewers 5.1.1 Release Notes,Scene7 Viewers 5.1.1 Release Notes,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-04-29-14.md,Scene7 Viewers 5.0.1 Release Notes,Scene7 Viewers 5.0.1 Release Notes,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-release-notes/c-archive/c-rn-09-18-13.md,Scene7 Viewers 4.9.2 Release Notes,"Enhancements, bug fixes, and known issues in Scene7 Viewers 4.9.2",Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-compatibility-notes.md,Compatibility notes,"Compatibility notes for operating systems, browsers, and mobile devices.",Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-keyboard-accessibility.md,Keyboard accessibility and navigation,"All features exposed in the Basic Zoom, eCatalog, eCatalog Search, Flyout, Inline Zoom, Mixed Media, Spin, Video, Zoom, Dimensional (3D), Carousel, Interactive Image, Interactive Video, and Video360 viewer interface are keyboard accessible.",Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-tutorial.md,Viewer SDK Tutorial,The Viewer SDK provides a set of JavaScript-based components for custom viewer development. The viewers are web-based applications that allow for rich media content served by Adobe Dynamic Media to be embedded in web pages.,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-html5-s7-aem-asset-viewers/c-html5-s7-aem-asset-viewers.md,Viewers for AEM Assets and Dynamic Media Classic,Viewers for AEM Assets and Dynamic Media Classic,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-html5-s7-aem-asset-viewers/c-html5-20-basic-zoom-viewer-about/c-html5-20-basic-zoom-viewer-about.md,Basic Zoom,"Basic Zoom Viewer is an image viewer that displays a single zoomable image. It has zoom tools, full screen support, and an optional close button. This viewer is the most lightweight. It is designed to work on desktops and mobile devices.",Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-html5-s7-aem-asset-viewers/c-html5-20-basic-zoom-viewer-about/r-html5-basic-zoom-viewer-20-config-attrib/r-html5-basic-zoom-viewer-20-config-attrib.md,Command reference – Configuration attributes,Configuration attributes documentation for Basic Zoom Viewer.,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-html5-s7-aem-asset-viewers/c-html5-20-basic-zoom-viewer-about/r-html5-basic-zoom-viewer-20-config-attrib/r-html5-basic-zoom-viewer-20-config-attrib-closebutton.md,closebutton,closebutton,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-html5-s7-aem-asset-viewers/c-html5-20-basic-zoom-viewer-about/r-html5-basic-zoom-viewer-20-config-attrib/r-html5-basic-zoom-viewer-20-config-attrib-zoomview-doubleclick.md,ZoomView.doubleclick,ZoomView.doubleclick,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-html5-s7-aem-asset-viewers/c-html5-20-basic-zoom-viewer-about/r-html5-basic-zoom-viewer-20-config-attrib/r-html5-basic-zoom-viewer-20-config-attrib-zoomview-enablehd.md,ZoomView.enableHD,ZoomView.enableHD,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-html5-s7-aem-asset-viewers/c-html5-20-basic-zoom-viewer-about/r-html5-basic-zoom-viewer-20-config-attrib/r-html5-basic-zoom-viewer-20-config-attrib-zoomview-fmt.md,ZoomView.fmt,ZoomView.fmt,Dynamic Media Classic,,"Developer,Business Practitioner",
help/aem-viewers-ref/c-html5-s7-aem-asset-viewers/c-html5-20-basic-zoom-viewer-about/r-html5-basic-zoom-viewer-20-config-attrib/r-html5-basic-zoom-viewer-20-config-attrib-zoomview-iconeffect.md,ZoomView.iconeffect,ZoomView.iconeffect,Dynamic Media Classic,,"Developer,Business Practitioner",
