filename,title,description,feature,topic,role,level
./metadata.md,,Dynamic Media Classic,,,,
./help/aem-ips-api/TOC.md,,,,,,
./help/landing/home.md,Adobe Dynamic Media developer resources,Adobe Dynamic Media developer resources,Dynamic Media Classic,,"Developer,Administrator",
help/aem-ips-api/c-overview.md,About Image Production System API,The IPS (Image Production System) Web Service API enables external applications and third-party developers to programmatically access IPS assets and functionality.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/c-deprecated-calls.md,Deprecated calls,Image Production System API calls and their associated parameters that are no longer used in Dynamic Media.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/c-wsdl-versions.md,IPS Web Service WSDL versions,The IPS Web Service is supported by a set of WSDL (Web Services Description Language) documents that are accessed from any IPS installation on which the IPS Web Service component is installed. Each IPS API release includes a new WSDL file that references a versioned target XML namespace. Prior WSDL namespace versions are also supported to allow for backwards compatibility with existing applications.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-operations-intro.md,Operations methods,Describes the common operation parameters handled by the IPS Web Service API.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-methods/c-methods.md,Operation parameters,Operation parameters,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-methods/r-add-company.md,addCompany,Adds a company to the system.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-methods/r-add-company-membership.md,addCompanyMembership,Adds a user to one or more companies.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-methods/r-add-group-members.md,addGroupMembers,Adds users from a specific company to a specific group.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-methods/r-add-group-membership.md,addGroupMembership,Adds a user to an array of groups.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-methods/r-add-project-assets.md,addProjectAssets,Adds one or more assets to a project.,"Dynamic Media Classic,Asset Management",Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-methods/r-add-tag-field-values.md,addTagFieldValues,Adds new tag values to the dictionary of an existing tag field.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
help/aem-ips-api/operations/c-operations-intro/c-methods/r-add-user.md,addUser,Creates a user account and adds that account to one or more companies.,Dynamic Media Classic,Dynamic Media Image Production System API,"Developer,Administrator",
