filename,title,description,feature,topic,role,level
./metadata.md,,Dynamic Media Classic,,,,
./help/aem-is-ir-api/TOC.md,,,,,,
./help/landing/home.md,Adobe Dynamic Media developer resources,Adobe Dynamic Media developer resources,,,,
help/aem-is-ir-api/r-about-this-release.md,About this release,This release—Image Serving 6.6.1 and Image Rendering 6.6.1—supersedes Image Serving 6.5.3 and Image Rendering 6.5.3.,Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
help/aem-is-ir-api/r-requirements-and-prerequisites.md,System requirements and prerequisites,"Before using Dynamic Media Image Serving, make sure your system meets the system requirements.",Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
help/aem-is-ir-api/r-disk-space-reqs.md,Disk space requirements and recommendations,"In addition to the space necessary to install the software, Image Serving has the following disk space requirements ",Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
help/aem-is-ir-api/r-restrictions-and-known-issues.md,Restrictions and known issues,There are some restrictions and known issues that should be considered when using Dynamic Media Image Serving.,Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
help/aem-is-ir-api/r-tech-support.md,Technical support,Use the following to contact technical support.,Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
help/aem-is-ir-api/r-document-conventions.md,Document conventions,This document uses the following conventions.,Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
help/aem-is-ir-api/c-installation/c-installation.md,Installation,You must install Image Serving before you can use it.,Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
help/aem-is-ir-api/c-installation/c-licensing.md,Licensing,"To use Image Serving, a Dynamic Media Image Serving license key is required and must be installed on each system on which Image Serving is to be used.",Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
help/aem-is-ir-api/c-installation/c-contents.md,Contents,"After the installation, the folder hierarchy in install_root includes the files and folders listed below.",Dynamic Media Classic,Dynamic Media Image Serving - Image Rendering API,"Developer,Business Practitioner",
